St Nr,Serial,WMO_Station_Name,WMO_Station_ID(WIGOS ID),Last reported on last sat comms (LoggerStationID),DCP ID
1,46553,DimbwePSS,0-894-2-DimbwePSS,Station1_DimbwePSS,180CD3B2
3,46555,MukulaikwaSS,0-894-2-MukulaikwaSS,Station3_MukulaikwaSS,18A0A2E8
4,46556,LusakaAirport,0-894-2-LSLU002,St4_LusakaAirport,1835F572
20,46572,NgabwePNC,0-894-2-NgabwePNC,Station20_NgabwePNC,1841C07E
28,46581,MunyatiPS,0-894-2-MunyatiPS,St28_MunyatiPS,18C460FE
29,46582,KamangaSC,0-894-2-KamangaSC,Station29_KamangaSC,1854D356
33,34610,LwambeNP,0-894-2-LwambeNP,Station33_LwambeNP,18B96634
39,45613,ChassaBoysSS,0-894-2-ChassaBoysSS,Station39_ChassaBoysSS,181F054A
40,45618/20204,ManyanePS,0-894-2-ManyanePS,Station40_ManyanePS,18EEA55C
45,48219,KasenengwaBSS,0-894-2-KasenengwaBSS,Station45_KasenengwaBSS,1887D7A2
46,48220,KafumbweSS,0-894-2-KafumbweSS,Station46_KafumbweSS,1822B3D2
47,48221,LubalashiS,0-894-2-LubalashiS,Station47_LubalashiS,18F7541A
49,48223/48307,LumantoBS,0-894-2-LumantoBS,Station49_LumantoBS,180F97B6
59,48233,LuampaSS,0-894-2-LuampaSS,St59_LuampaSS,186191EC
60,48234,KalonjePS,0-894-2-KalonjePS,Station60_KalonjePS,182864E8
63,48237,MangangoZNS,0-894-2-MangangoZNS,St63_MangangoZNS,185817D4
64,49307,MabumbuPS,0-894-2-MabumbuPS,Station64_MabumbuPS,1802E240
66,49309,LilachiBS,0-894-2-LilachiBS,Station66_LilachiBS,184912B0
67,49311,MiteteSS,0-894-2-MiteteSS,Station67_MiteteSS,1879D1DE
69,49313,SinjembelaS,0-894-2-SinjembelaS,Station69_SinjembelaS,185EF4E8
70,49315,LunyatiSS,0-894-2-LunyatiSS,Station70_LunyatiSS,18E2C126
72,49616,SikongoSS,0-894-2-SikongoSS,Station72_SikongoSS,1805256A
73,49617,ShangomboSS,0-894-2-ShangomboSS,Station73_ShangomboSS,188BF0D2
81,49625,NyunduPS,0-894-2-NyunduPS,Station81_NyunduPS,186EF298
91,49635,LunduSS,0-894-2-LunduSS,Station91_LunduSS,18CB666C
95,51202,NsumbuSS,0-894-2-NsumbuSS,Station95_NsumbuSS,184CF682
96,51203,KalabweSS,0-894-2-KalabweSS,St96_KalabweSS,188C74F2
97,51204,Mansa,0-894-2-LPMA001,St97_Mansa,18796250
103,51210,ChipunduSS,0-894-2-ChipunduSS,Station103_ChipunduSS,18125650
113,51288,MambilimaSS,0-894-2-MambilimaSS,Station113_MambilimaSS,1819E676
